,Name,Latitude,Longitude,Elevation
0,GPS BIIR-2  (PRN 13),45.11365939060996,133.88651610672127,26432942.15440724
1,GPS BIIR-4  (PRN 20),27.847624896380736,171.59399690564945,26432396.87632905
2,GPS BIIR-8  (PRN 16),41.307863749758404,-8.76726675103592,26555766.43734331
3,GPS BIIR-9  (PRN 21),-14.624055824021394,-52.12822521268008,26104605.042365972
4,GPS BIIR-10 (PRN 22),-52.15976650138449,-54.223216424873534,26411267.136919484
5,GPS BIIR-11 (PRN 19),-53.61895649269669,-156.47150126939664,26818553.82681613
6,GPS BIIR-13 (PRN 02),-12.662436860842194,147.42659892151255,26444808.33404495
7,GPS BIIRM-1 (PRN 17),-40.32195340183837,-128.27467387047113,26287740.69402333
8,GPS BIIRM-2 (PRN 31),-31.94915791615733,-9.704230289360291,26808554.675134055
9,GPS BIIRM-3 (PRN 12),-54.698164427497886,100.65691730493322,26790489.412803907
10,GPS BIIRM-4 (PRN 15),32.30208552580251,104.0569464954415,26222937.749384943
11,GPS BIIRM-5 (PRN 29),9.071575031760744,80.83913476442535,26519635.805360787
12,GPS BIIRM-6 (PRN 07),53.505906705172606,-111.2111327848782,26821420.18690546
13,GPS BIIRM-8 (PRN 05),49.23809861785222,145.99041058135265,26483323.423181206
14,GPS BIIF-1  (PRN 25),-42.07763021861485,61.7046246613343,26830043.85928448
15,GPS BIIF-2  (PRN 01),-34.907555550362254,-64.19966606393488,26584057.75833628
16,GPS BIIF-3  (PRN 24),-23.31681388511104,120.08008841797766,26469694.41497012
17,GPS BIIF-4  (PRN 27),51.11299330448846,-40.34245982334982,26363430.94751281
18,GPS BIIF-5  (PRN 30),48.283551361271385,-160.36129597327087,26673106.820992343
19,GPS BIIF-6  (PRN 06),-36.803258267411074,172.63694444806046,26555253.536091674
20,GPS BIIF-7  (PRN 09),12.477757904078327,-107.29040352154348,26536257.495656297
21,GPS BIIF-8  (PRN 03),-54.55618429730766,-83.43856084504428,26660886.964607723
22,GPS BIIF-9  (PRN 26),17.46601642644632,6.875307281194491,26684601.87685117
23,GPS BIIF-10 (PRN 08),34.55497260970618,-70.0065668494494,26436516.347690526
24,GPS BIIF-11 (PRN 10),5.755009301941365,26.56170197280935,26723392.56292242
25,GPS BIIF-12 (PRN 32),-44.15930198235473,39.311610277468866,26540162.58592314
26,GPS BIII-1  (PRN 04),-11.310084344621302,-87.30619324972818,26526922.88016735
27,GPS BIII-2  (PRN 18),55.37057793435592,60.32030493568956,26560056.178855713
28,GPS BIII-3  (PRN 23),29.157681962893907,43.92015108995703,26580921.30670453
29,GPS BIII-4  (PRN 14),3.898638051795656,-152.0144874814127,26584473.01674196
